2025-02-09 02:16:36 INFO  Menu:showSuccessImport:59 - Импорт выполнен успешно: class model.impl.Book, id: 7
2025-02-09 11:21:29 INFO  Menu:showSuccess:24 - Выполнено: Добавлено 2 книг №9
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [1]   Анна Каренина,  Л.Н.Толстой,  1884,  1150.0,  4,  AVAILABLE,  2025-01-09T12:34:56,  2025-01-28T16:14:23
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [2]   Капитанская дочка,  А.С.Пушкин,  1836,  200.0,  2,  AVAILABLE,  2025-01-09T17:55:11,  2025-02-02T23:19:43
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [3]   Дубровский,  А.С.Пушкин,  1833,  450.0,  0,  NOT_AVAILABLE,  2024-10-20T22:12:34,  2025-01-08T16:20:55
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [4]   Пиковая дама,  А.С.Пушкин,  1833,  975.0,  1,  AVAILABLE,  2024-04-05T13:03:45,  2024-02-23T11:11:22
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [5]   Обломов,  Иван Гончаров,  1859,  12.0,  2,  AVAILABLE,  2025-01-08T07:30,  2025-02-02T23:19:43
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [6]   Детство,  Лев Толстой,  1852,  9.5,  0,  NOT_AVAILABLE,  2023-10-25T15:10:12,  not been sold yet
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [7]   Муму,  Иван Тургенев,  1854,  8.0,  0,  NOT_AVAILABLE,  2023-11-20T09:05:23,  2025-02-02T23:38:15
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [8]   Отцы и дети,  Иван Тургенев,  1862,  11.5,  7,  AVAILABLE,  2024-01-15T10:23:45,  2025-02-02T23:45:07
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [9]   Мёртвые души,  Н.В.Гоголь,  1842,  350.0,  0,  NOT_AVAILABLE,  2024-01-11T18:50,  not been sold yet
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [10]   Ревизор,  Н.В.Гоголь,  1835,  875.0,  3,  AVAILABLE,  2025-01-08T08:40,  not been sold yet
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [16]   Космос,  Карл Саган,  1980,  27.0,  1,  NOT_AVAILABLE,  2025-02-08T17:07:30,  not been sold yet
2025-02-09 11:56:57 INFO  Menu:showSuccessImport:37 - Выполнен импорт книги: [17]   Краткая история времени,  Стивен Хокинг,  1988,  15.99,  5,  AVAILABLE,  2024-01-15T14:30,  2025-01-08T11:30
