id;name;author;publicationYear;amount;price;lastDeliveredDate;lastSaleDate;status
1,Анна Каренина,Л.Н.Толстой,1884,7,1150.0,2025-02-11T00:37:39,2025-01-28T16:14:23,AVAILABLE
2,Капитанская дочка,А.С.Пушкин,1836,1,200.0,2025-02-10T23:48:17,2025-02-11T00:37:54,AVAILABLE
3,Дубровский,А.С.Пушкин,1833,0,450.0,2024-10-20T22:12:34,2025-01-08T16:20:55,NOT_AVAILABLE
4,Пиковая дама,А.С.Пушкин,1833,1,975.0,2024-04-05T13:03:45,2024-02-23T11:11:22,AVAILABLE
5,Обломов,Иван Гончаров,1859,2,12.0,2025-01-08T07:30,2025-02-02T23:19:43,AVAILABLE
6,Детство,Лев Толстой,1852,0,9.5,2023-10-25T15:10:12,null,NOT_AVAILABLE
7,Муму,Иван Тургенев,1854,0,8.0,2023-11-20T09:05:23,2025-02-02T23:38:15,NOT_AVAILABLE
8,Отцы и дети,Иван Тургенев,1862,5,11.5,2024-01-15T10:23:45,2025-02-10T19:38:04,AVAILABLE
9,Мёртвые души,Н.В.Гоголь,1842,0,350.0,2024-01-11T18:50,null,NOT_AVAILABLE
10,Ревизор,Н.В.Гоголь,1835,1,875.0,2025-01-08T08:40,2025-02-09T12:05:32,AVAILABLE
16,Космос,Карл Саган,1980,2,27.0,2025-02-11T11:10,2025-02-11T11:10,NOT_AVAILABLE
17,Краткая история времени,Стивен Хокинг,1988,5,15.99,2024-01-15T14:30,2025-01-08T11:30,AVAILABLE
18,Геном,Мэтт Ридли,1999,6,21.2,2024-02-25T19:20,2025-02-10T19:48:43,AVAILABLE
19,Физика невозможного,Митио Каку,2008,4,29.0,2025-01-08T09:22,null,AVAILABLE
22,Краткая история времени,Стивен Хокинг,1988,2,15.99,2024-01-15T14:30,2025-02-09T12:05:32,AVAILABLE
23,Геном,Мэтт Ридли,1999,9,21.2,2024-02-25T19:20,2025-01-09T17:00,AVAILABLE
25,Физика невозможного,Митио Каку,2008,2,29.0,2025-01-08T09:22,2025-02-09T12:10:23,AVAILABLE
31,Структура научных революций,Томас Кун,1962,3,18.75,2025-01-09T12:25,2025-02-11T11:17:29,AVAILABLE
42,Sapiens. Краткая история человечества,Юваль Ной Харари,2011,3,22.5,2025-02-10T22:42:13,2025-02-09T12:25:06,AVAILABLE
53,Космос,Карл Саган,1980,2,27.0,2025-02-10T22:40:53,2025-02-11T11:31:52,AVAILABLE
11,Sapiens. Краткая история человечества,Юваль Ной Харари,2011,3,22.5,2023-12-20T15:22:33,2024-02-10T09:30,AVAILABLE
12,Черный лебедь,Нассим Николас Талеб,2007,4,19.0,2024-01-05T06:15:45,2025-02-10T19:32:24,AVAILABLE
13,Эйнштейн. Его жизнь и Вселенная,Уолтер Айзексон,2007,1,25.5,2025-01-08T21:10:11,2025-02-10T19:32:24,AVAILABLE
14,Искусственный интеллект. Этапы. Угрозы. Стратегии,Стюарт Рассел,2010,10,32.0,2025-02-11T11:31:23,2025-02-09T12:05:32,AVAILABLE
15,Думай медленно… Решай быстро,Даниэль Канеман,2011,4,23.5,2023-12-01T16:45,2024-02-15T13:15,AVAILABLE
20,Структура научных революций,Томас Кун,1962,10,18.75,2025-02-02T23:20:39,2025-02-02T23:20:26,AVAILABLE
