id;name;author;publicationYear;amount;price;lastDeliveredDate;lastSaleDate
1,Анна Каренина,Л.Н.Толстой,1884,5,1150.0,2025-01-09,2025-01-09
10,Ревизор,Н.В.Гоголь,1835,3,875.0,2025-01-08,null
2,Капитанская дочка,А.С.Пушкин,1836,3,200.0,2025-01-09,2024-03-19
3,Дубровский,А.С.Пушкин,1833,0,450.0,2024-10-20,2025-01-08
4,Пиковая дама,А.С.Пушкин,1833,1,975.0,2024-04-05,2024-02-23
5,Обломов,Иван Гончаров,1859,3,12.0,2025-01-08,2023-12-10
6,Детство,Лев Толстой,1852,0,9.5,2023-10-25,null
7,Муму,Иван Тургенев,1854,4,8.0,2023-11-20,2023-12-01
8,Отцы и дети,Иван Тургенев,1862,9,11.5,2024-01-15,2023-12-01
9,Мёртвые души,Н.В.Гоголь,1842,0,350.0,2024-01-11,null
42,Sapiens. Краткая история человечества,Юваль Ной Харари,2011,3,22.5,2023-12-20,2024-02-10
16,Черный лебедь,Нассим Николас Талеб,2007,5,19.0,2024-01-05,2024-01-30
17,Эйнштейн. Его жизнь и Вселенная,Уолтер Айзексон,2007,4,25.5,2025-01-08,2024-02-28
18,Искусственный интеллект. Этапы. Угрозы. Стратегии,Стюарт Рассел,2010,8,32.0,2024-03-01,null
19,Думай медленно… Решай быстро,Даниэль Канеман,2011,4,23.5,2023-12-01,2024-02-15
53,Космос,Карл Саган,1980,2,27.0,2025-01-27,2025-01-27
22,Краткая история времени,Стивен Хокинг,1988,5,15.99,2024-01-15,2025-01-08
23,Геном,Мэтт Ридли,1999,9,21.2,2024-02-25,2025-01-09
25,Физика невозможного,Митио Каку,2008,4,29.0,2025-01-08,null
31,Структура научных революций,Томас Кун,1962,9,18.75,2025-01-09,2025-01-08
